species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Xanthomonas vasicola pv. vasculorum	Xanthomonas vasicola pv. Vasculorum(Xanthomonas vasicola pv. Zeae/Xanthomonas campestrispv.zeae)		bacteria	325776	Bacterial leaf streak	细菌性条斑病	confirmed	Lang J M, DuCharme E, Ibarra Caballero J, et al. Detection and characterization of Xanthomonas vasicola pv. vasculorum (Cobb 1894) comb. nov. causing bacterial leaf streak of corn in the United States[J]. Phytopathology, 2017, 107(11): 1312-1321.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Alphanucleorhabdovirus maydis	Maize mosaic virus (MMV)		viruses	279896	Maize mosaic	玉米花叶病	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	MK828539.1; NC_005975.1		
Alphanucleorhabdovirus zeairanense	Maize Iranian mosaic virus (MIMV)		viruses	348823	Maize Iranian mosaic	玉米伊朗花叶病	confirmed	Ghorbani A, Izadpanah K, Dietzgen R G. Changes in maize transcriptome in response to maize Iranian mosaic virus infection[J]. Plos one, 2018, 13(4): e0194592.	present	3	DQ186554.1; NC_036390.1		
American wheat striate mosaic virus	American wheat striate mosaic virus ( Wheat American striate mosaic virus)		viruses	1985707	wheat striate mosaic	玉米条点花叶病	confirmed	Slykhuis J T. Vector and host relations of North American wheat striate mosaic virus[J]. Canadian Journal of Botany, 1963, 41(8): 1171-1185.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Aureusvirus zeae	Maize white line mosaic virus (MWLMV)		viruses	445227	Maize white line mosaic	玉米白线花叶病	confirmed	Zhang L, Zitter T A, Lulkin E J. Artificial inoculation of maize white line mosaic virus into corn and wheat[J]. 1991.	present	2	NC_009533.1		
Betacytorhabdovirus hordei	Maize sterile stunt virus (MSSV)(Barley yellow striate mosaic virus)		viruses	2545470	Maize sterile stunt	玉米不育矮化病	confirmed	Greber R S. Maize sterile stunt—a delphacid transmitted rhabdovirus disease affecting some maize genotypes in Australia[J]. Australian Journal of Agricultural Research, 1982, 33(1): 13-23.	present	1	MH717815.1		
Bromovirus BMV	Brome mosaic virus		viruses	12302	Brome mosaic	玉米病毒性白斑病	confirmed	Aguilera S, Rodríguez-Escobar J G, Romero-González V N, et al. Identification and abundance of six viruses and a spiroplasma in single and mixed infections in maize fields in Veracruz, Mexico[J]. Revista bio ciencias, 2019, 6.	present	3	PV173122.1; PV173123.1; PV173124.1		
Cucumovirus CMV	Cucumber mosaic virus		viruses	12305	Cucumber mosaic	玉米条纹花叶病	confirmed	Kim M K, Kwak H R, Lee S H, et al. Characteristics of Cucumber mosaic virus isolated from Zea mays in Korea[J]. The Plant Pathology Journal, 2011, 27(4): 372-377.	present	6	HG917909.1; HG917910.1; HG917911.1; PZ447433.1; PZ447434.1; PZ447435.1		
Emaravirus tritici	High Plains wheat mosaic virus (HPWMoV)		viruses	1980428	High Plains disease	高原病	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	PZ410477.1; PZ410478.1; PZ410479.1		
Fijivirus alporyzae	Rice black streaked dwarf virus (RBSDV)		viruses	10990	Maize rough dwarf disease (China strain)	水稻黑条矮缩病毒(中国玉米粗缩病主要病原)	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	LC590237.1; LC590238.1; LC590239.1		NCBI species node resolved; original isolate TaxID retained; renamed from Fijivirus zeae to Fijivirus alporyzae
