species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Curvularia clavata	Curvularia clavata		fungi	95742	Curvularia leaf spot	弯孢叶斑病	confirmed	Mandokhot A M, Basu Chaudhary K C. A new leaf spot of maize incited by Curvularia clavata[J]. Netherlands Journal of Plant Pathology, 1972, 78(2): 65-68.	present	40	AF071336.1; GQ179976.1; HF937109.1; JN006762.1; JN006764.1; JN006765.1; JN006766.1; JN006767.1; JN006768.1; JN021115.1; JX126481.1; KU552203.1; KU552205.1; KU715109.1; KX610320.1; KX757756.1; KY984008.1; LS484130.1; MF038179.1; MK736276.1; MN398972.1; MN540251.1; MN592977.1; MN623415.1; MN718986.1; MW320530.1; MW543062.1; MZ042536.1; OM280074.1; ON130615.1; OP854609.1; OQ195796.1; OR230244.1; PP291919.1; PP373713.1; PP621719.1; PP621720.1; PZ018914.1; PZ502411.1; PZ619181.1		
Curvularia eragrostidis	Curvularia eragrostidis		fungi	418125	Curvularia leaf spot	弯孢叶斑病	confirmed	KULKARNI S, WALI M C, HARLAPUR S I, et al. Etiology, prevalence and management of curvularia leaf spot of maize in Karnataka[J]. 2016.	present	43	MH858546.1; MH859837.1; MN905466.1; MW260287.1; MW330259.1; MZ148448.1; MZ203545.1; MZ203562.1; MZ203563.1; MZ203564.1; MZ203589.1; MZ203590.1; MZ510930.1; MZ951162.1; OK284522.1; OL347778.1; OM574679.1; ON130597.1; ON130605.1; OP251366.1; OQ132555.1; OQ421617.1; OQ435851.1; OQ435863.1; OQ435865.1; OQ435867.1; OR552700.1; OR939709.1; PP082869.1; PP761989.1; PP786364.1; PP887991.1; PP887992.1; PP887993.1; PP887994.1; PQ427790.1; PV138304.1; PV651752.1; PX715456.1; PX715457.1; PZ051199.1; PZ269064.1; PZ744239.1		
Curvularia geniculata(Cochliobolus geniculatus)	Curvularia geniculata(Cochliobolus geniculatus)	Cochliobolus geniculatus	fungi	418126	Leaf spot (minor)	弯孢叶斑病(次要)	confirmed	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot of maize caused by Curvularia geniculata in India[J]. Plant Disease, 2021, 105(12): 4155.	present	43	LC802642.1; MH856584.1; MH857009.1; MH857565.1; MH858445.1; MH858604.1; PP442061.1; PP887995.1; PP887996.1; PP961894.1; PQ130437.1; PQ166595.1; PQ203624.1; PQ358371.1; PQ453901.1; PQ509331.1; PQ580772.1; PV021109.1; PV021212.1; PV290842.1; PV363220.1; PV363268.1; PV367997.1; PV789439.1; PV834175.1; PV918788.1; PV932089.1; PX362638.1; PX463423.1; PX752441.1; PX972514.1; PX974578.1; PZ017563.1; PZ092863.1; PZ151159.1; PZ185325.1; PZ255453.1; PZ269071.1; PZ274260.1; PZ281862.1; PZ281868.1; PZ678935.1; PZ794750.1		
Curvularia inaequalis / Helminthosporium inaequale	Curvularia inaequalis / Helminthosporium inaequale		fungi	38902	Curvularia leaf spot	弯孢叶斑病	confirmed	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	present	43	KU935665.1; KY114905.1; MF461014.1; MG654437.1; MG654438.1; MH473944.1; MH856096.1; MH856636.1; MN720351.1; MN830390.1; MT000601.1; MT192114.1; MT229246.1; MT229248.1; MT229249.1; MW332244.1; MW356912.1; MW940815.1; MZ486390.1; OK117928.1; OM232276.1; OM685093.1; ON127872.1; OP709686.1; OP710129.1; OR206518.1; OR259227.1; OR600286.1; OR602165.1; OR652925.1; OW847525.1; OW984015.1; OW986427.1; OW988110.1; PP789629.1; PP801333.1; PP801574.1; PP818868.1; PP851675.1; PP872372.1; PQ637670.1; PX106831.1; PZ694856.1		
Curvularia intermedia / Cochliobolus intermedius	Curvularia intermedia(Cochliobolus intermedius)		fungi	95735	Curvularia leaf spot	弯孢叶斑病	confirmed	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	present	43	MF370184.1; MH393296.1; MK192923.1; MK304100.1; MK304195.1; MK304232.1; MK304397.1; MK690420.1; MN809163.1; MN905483.1; MT229264.1; MT505874.1; MT505879.1; MT605134.1; MT605137.1; MW081267.1; MZ613310.1; OL677168.1; OL711652.1; OM237011.1; OM272972.1; OM745376.1; OM745570.1; ON208458.1; ON711979.1; ON844201.1; OP257234.1; OQ300329.1; OR434055.1; OR708567.1; OR708568.1; PP069871.1; PP515276.1; PP563716.1; PQ203626.1; PQ395200.1; PQ533225.1; PV133109.1; PV450185.1; PV608212.1; PV664726.1; PX238634.1; PZ269063.1		
Curvularia lunata (Cochliobolus lunatus)	Curvularia lunata (Cochliobolus lunatus)	Cochliobolus lunatus	fungi	5503	Curvularia leaf spot	弯孢叶斑病	confirmed	Gao S, Li Y, Gao J, et al. Genome sequence and virulence variation-related transcriptome profiles of Curvularia lunata, an important maize pathogenic fungus[J]. BMC genomics, 2014, 15(1): 627.	present	43	MH858446.1; PX845981.1; PX899285.1; PZ234630.1; PZ288162.1; PZ327767.1; PZ327833.1; PZ342839.1; PZ359625.1; PZ360774.1; PZ374875.1; PZ380007.1; PZ380016.1; PZ384155.1; PZ384157.1; PZ403272.1; PZ406425.1; PZ407063.1; PZ453030.1; PZ460987.1; PZ462622.1; PZ489343.1; PZ502928.1; PZ507297.1; PZ509330.1; PZ536320.1; PZ536321.1; PZ546338.1; PZ575810.1; PZ585091.1; PZ626781.1; PZ675716.1; PZ741779.1; PZ744291.1; PZ745133.1; PZ745134.1; PZ748915.1; PZ748917.1; PZ761536.1; PZ780068.1; PZ789906.1; PZ789907.1; PZ818900.1		
Curvularia pallescens	Curvularia pallescens		fungi	318706	Curvularia leaf spot	弯孢叶斑病	confirmed	Manzar N, Kashyap A S, Sharma P K, et al. First report of leaf spot on maize caused by Curvularia verruculosa in India[J]. Plant Disease, 2024, 108(3): 793.	present	12	AB288408.1; AB288409.1; EU339370.1; JN006786.1; JQ585675.1; KJ922380.1; MH855614.1; MH856585.1; MK426806.1; MK583547.1; MN055718.1; OM262208.1		
Curvularia senegalensis / Brachysporium senegalense	Curvularia senegalensis / Brachysporium senegalense		fungi	215132	Curvularia leaf spot	弯孢叶斑病	confirmed	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	present	31	AB444664.1; HG779001.1; JN006788.1; MH087107.1; MH087110.1; MH368101.1; MK359853.1; MK804485.1; MT410577.1; MT476857.1; MT476858.1; MT476859.1; MW353711.1; MZ595769.1; MZ733747.1; OQ657946.1; OQ657947.1; OR544404.1; OR761601.1; OW985594.1; PP053177.1; PP275247.1; PP564498.1; PP564499.1; PP621721.1; PQ881650.1; PV157292.1; PV157293.1; PV848768.1; PZ185326.1		
Curvularia tuberculata / Cochliobolus tuberculatus	Curvularia tuberculata (Cochliobolus tuberculatus)		fungi	1056642	Curvularia leaf spot	弯孢叶斑病	confirmed	Zhang D, Wang F, Zhao J, et al. Virulence, molecular diversity, and mating type of Curvularia lunata in China[J]. Plant disease, 2019, 103(7): 1728-1737.	present	33	HF934907.1; JN192374.1; JQ724383.1; JQ724434.1; JQ724489.1; JQ724512.1; JX256433.1; KC315948.1; KJ767096.1; KP122965.1; KR704891.1; KT385714.1; KY995629.1; LC494371.1; MF448225.1; MH665453.1; MH858243.1; MH859834.1; MN402766.1; MN519517.1; MN519519.1; MN521832.1; MN540245.1; MN540247.1; MT229266.1; ON329689.1; OR262502.1; OR262504.1; OR262505.1; OR555998.1; PV250306.1; PV290864.1; PX518059.1		
Didymella exitialis / Neoascochyta exitialis	Neoascochyta exitialis/ Didymella exitialis		fungi	487631	leaf spot	叶斑病	confirmed	王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	present	39	EU167564.1; KC311477.1; KC989097.1; KT389516.1; KT389517.1; KT692567.1; KX778684.1; LR961710.1; MG938349.1; MH857013.1; MH861347.1; MH861971.1; MK029866.1; MK690550.1; MN972997.1; MN972999.1; MN973386.2; MN973388.2; MN973627.1; MW710038.1; MW710041.1; OK353875.1; OM744817.1; ON963047.1; OP799057.1; OR783914.1; OR792413.1; OR810325.1; OR810468.1; OR810525.1; OR810577.1; OZ347338.1; OZ347352.1; OZ347353.1; OZ347356.1; OZ347382.1; PP147795.1; PP156753.1; PX118478.1		
Didymella maydis (Phyllosticta maydis)	Didymella maydis (Phyllosticta maydis)	Phyllosticta maydis	fungi	259522	yellow leaf blight of maize	玉米黄叶枯病	confirmed	Arny D C, Nelson R R. Phyllosticta maydis species nova, the incitant of yellow leaf blight of maize[J]. Phytopathology, 1971, 61(10): 1170-72.	present	9	KF512826.1; MH859380.1; MN972882.1; MN973269.2; OM701808.1; OM701809.1; PZ745918.1; PZ745919.1; PZ745920.1		
Epicoccum nigrum	Epicoccum nigrum		fungi	105696	Epicoccum leaf spot, ear mold (minor)	附球菌叶斑病/穗霉病(次要)	confirmed	Xu X, Li J, Yang X, et al. Epicoccum spp. causing maize leaf spot in Heilongjiang Province, China[J]. Plant Disease, 2022, 106(12): 3050-3060.	present	43	MH854713.1; MH855167.1; MH855260.1; MH855396.1; MH855478.1; MH855943.1; MH857847.1; MH857848.1; MH857849.1; MH857850.1; MH857851.1; MH860625.1; MH860655.1; MH861752.1; PQ350493.1; PQ350496.1; PQ350591.1; PQ350642.1; PQ350643.1; PQ350657.1; PV498642.1; PV498646.1; PV498651.1; PV498652.1; PV498653.1; PV498654.1; PV498655.1; PV498688.1; PZ281865.1; PZ462612.1; PZ476674.1; PZ526881.1; PZ544358.1; PZ556471.1; PZ572952.1; PZ573887.1; PZ573951.1; PZ658190.1; PZ661246.1; PZ683424.1; PZ695141.1; PZ734650.1; PZ779821.1		
Epicoccum sorghinum/Phoma sorghina	Epicoccum sorghinum/Phoma sorghina		fungi	749593	Phoma leaf spot, stalk rot	茎点霉叶斑病/茎腐病	confirmed	Do Amaral A L, Dal Soglio F K, De Carli M L, et al. Pathogenic fungi causing symptoms similar to Phaeosphaeria leaf spot of maize in Brazil[J]. Plant disease, 2005, 89(1): 44-49.	present	43	MH860479.1; PX607714.1; PZ019625.1; PZ043039.1; PZ111327.1; PZ113135.1; PZ120706.1; PZ120707.1; PZ120710.1; PZ120711.1; PZ120737.1; PZ120780.1; PZ120811.1; PZ120812.1; PZ120814.1; PZ120823.1; PZ185680.1; PZ210243.1; PZ234618.1; PZ234619.1; PZ234620.1; PZ234627.1; PZ242099.1; PZ266593.1; PZ269061.1; PZ269065.1; PZ269068.1; PZ342885.1; PZ403271.1; PZ403274.1; PZ403275.1; PZ403276.1; PZ403277.1; PZ403278.1; PZ403279.1; PZ403280.1; PZ485091.1; PZ556319.1; PZ611728.1; PZ611729.1; PZ695142.1; PZ780856.1; PZ790546.1		
Eutiarosporella dactylidis	Eutiarosporella dactylidis		fungi	1608309	leaf blight	真小孢帽菌叶枯病	confirmed	Guo C, Zhang X, Wang B, et al. Identification, pathogenicity, and fungicide sensitivity of Eutiarosporella dactylidis associated with leaf blight on maize in China[J]. Journal of Integrative Agriculture, 2024, 23(3): 888-900.	present	38	KM978944.1; KM978945.1; KU246378.1; MF289782.1; MF398898.1; MZ470435.1; MZ470436.1; MZ470437.1; MZ470438.1; MZ470439.1; MZ470440.1; MZ470441.1; MZ470442.1; MZ470443.1; MZ470444.1; OM617946.1; OM617947.1; PP422904.1; PP422905.1; PP422906.1; PP422907.1; PP422908.1; PP422909.1; PP422910.1; PP422911.1; PP422912.1; PP422913.1; PP422914.1; PP422915.1; PP422916.1; PP422917.1; PP422918.1; PP422919.1; PP422920.1; PP422921.1; PP422925.1; PP422926.1; PP422927.1		
Exserohilum rostratum (Setosphaeria rostrata)	Exserohilum rostratum (Setosphaeria rostrata) /Exserohilum prolatum / Setosphaeria prolata	Setosphaeria rostrata	fungi	1659837	Exserohilum leaf spot	突脐蠕孢叶斑病	confirmed	Xie S N, Li B Y, Ru Y Y, et al. First report of Exserohilum rostratum causing leaf spot on maize (Zea mays) in Henan, China[J]. Plant disease, 2022, 106(6): 1748. Leonard K J, Suggs E G. Setosphaeria prolata, the ascigerous state of Exserohilum prolatum[J]. Mycologia, 1974, 66(2): 281-297.	present	43	MH855990.1; MH857032.1; MH859108.1; MH860942.1; MH865917.1; PV111194.1; PV664735.1; PV875662.1; PX421027.2; PX494404.1; PX659725.1; PX659732.1; PX659734.1; PX659739.1; PX659740.1; PX659741.1; PX659742.1; PX837032.1; PX895805.1; PX970222.1; PX998467.1; PZ120405.1; PZ120406.1; PZ153433.1; PZ185320.1; PZ231153.1; PZ266804.1; PZ287891.1; PZ342843.1; PZ359477.1; PZ359657.1; PZ456912.1; PZ456913.1; PZ477991.1; PZ478025.1; PZ489342.1; PZ489347.1; PZ531697.1; PZ531698.1; PZ531699.1; PZ768233.1; PZ783594.1; PZ790917.1		
Exserohilum turcicum (Setosphaeria turcica)	Exserohilum turcicum (Setosphaeria turcica)	Setosphaeria turcica	fungi	93612	Northern corn leaf blight (NCLB)	玉米大斑病	confirmed	Kotze R G, Van der Merwe C F, Crampton B G, et al. A histological assessment of the infection strategy of Exserohilum turcicum in maize[J]. Plant Pathology, 2019, 68(3): 504-512.	present	43	LC922933.1; OQ862341.1; PV436757.1; PV436758.1; PV436759.1; PV436760.1; PV436761.1; PV436762.1; PV436763.1; PV436764.1; PV436765.1; PV436766.1; PV436767.1; PV436768.1; PV436769.1; PV436770.1; PV436771.1; PV436772.1; PV436773.1; PV436774.1; PV436775.1; PV436776.1; PV436777.1; PV449608.1; PV449746.1; PV476778.1; PX659707.1; PX659711.1; PX659715.1; PX659717.1; PX659720.1; PX659723.1; PX659726.1; PX659727.1; PX659728.1; PX659729.1; PX659730.1; PX659731.1; PX659733.1; PX659735.1; PX659736.1; PZ312072.1; PZ501535.1		
Fusarium acuminatum	Fusarium acuminatum		fungi	5515	Fusarium ear rot (minor)	镰刀菌穗腐病(次要)	confirmed	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.	present	43	MH865933.1; PV109750.1; PV109768.1; PV498715.1; PV528760.1; PV533725.1; PX071350.1; PX071368.1; PX259887.1; PX682793.1; PX684563.1; PX735331.1; PX735332.1; PX736049.1; PX756745.1; PX765410.1; PX765414.1; PX884237.1; PX891955.1; PX891997.1; PX908936.1; PX945896.1; PX963791.1; PX963795.1; PX963796.1; PZ008294.1; PZ011557.1; PZ039494.1; PZ103769.1; PZ134997.1; PZ179522.1; PZ194281.1; PZ194410.1; PZ194414.1; PZ204249.1; PZ351079.1; PZ406913.1; PZ556952.1; PZ694857.1; PZ695186.1; PZ695187.1; PZ695192.1; PZ697416.1		
Fusarium andiyazi	Fusarium andiyazi		fungi	520446	Fusarium ear rot	镰刀菌穗腐病	confirmed	Zhang H, Luo W, Pan Y, et al. First report of Fusarium ear rot of maize caused by Fusarium andiyazi in China[J]. Plant disease, 2014, 98(10): 1428-1428.	present	43	KP018378.1; MW016405.1; MW486496.1; MW486498.1; MW486499.1; MW486500.1; MW486501.1; MW486502.1; MW486503.1; MW486504.1; MW486505.1; MW486506.1; MW486507.1; MW486509.1; MW486510.1; MW486511.1; OL635570.1; OM758342.1; ON411483.1; ON411503.1; ON527516.1; ON798829.1; OQ818159.1; OR137061.1; OR137062.1; OR137063.1; OR473088.1; OR473114.1; PQ416098.1; PQ416107.1; PQ416113.1; PQ788690.1; PV862235.1; PX226337.1; PX226340.1; PX226344.1; PX226346.1; PX226360.1; PX226362.1; PX246537.1; PX459733.1; PX916102.1; PZ432622.1		
Fusarium asiaticum	Fusarium asiaticum		fungi	282267	Gibberella ear rot/stalk rot (Asia)/Red ear rot	赤霉穗腐病/茎腐病(亚洲)	confirmed	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	present	43	MZ353563.1; ON492625.1; OR143379.1; OR565903.1; OR733675.1; OR735579.1; OR735582.1; OR735583.1; OR735585.1; OR880595.1; OR888992.1; OR975670.1; PP033955.1; PP087929.1; PP087930.1; PP087931.1; PP087932.1; PP087933.1; PP087934.1; PP087935.1; PP087936.1; PP357976.1; PP422018.1; PP474103.1; PP710694.1; PP905109.1; PQ152259.1; PQ219475.1; PV367982.1; PV367983.1; PV459639.1; PV569524.1; PV581227.1; PX057298.1; PX057303.1; PX057310.1; PZ266785.1; PZ266813.1; PZ466060.1; PZ466061.1; PZ671480.1; PZ671481.1; PZ780547.1		
Fusarium avenaceum	Fusarium avenaceum		fungi	40199	Fusarium ear rot, stalk rot	镰刀菌穗腐病/茎腐病	confirmed	Ma N, Abdul Haseeb H, Xing F, et al. Fusarium avenaceum: A toxigenic pathogen causing ear rot on maize in yunnan province, China[J]. Plant Dis, 2019, 103(6): 1424.	present	43	MH858036.1; MH858189.1; MH860648.1; MH864972.1; PQ350464.1; PQ350466.1; PQ350467.1; PQ350469.1; PQ350471.1; PQ350473.1; PQ350477.1; PQ350478.1; PQ350480.1; PQ350481.1; PQ350482.1; PQ350483.1; PQ350563.1; PQ350651.1; PQ350653.1; PQ350659.1; PQ350661.1; PQ350662.1; PQ350665.1; PQ350669.1; PQ350696.1; PX071342.1; PX071354.1; PX071367.1; PX071378.1; PX071381.1; PX642692.1; PZ478041.1; PZ489879.1; PZ547846.1; PZ695172.1; PZ695173.1; PZ695175.1; PZ695178.1; PZ695179.1; PZ697417.1; PZ725181.1; PZ725182.1; PZ795336.1		
Fusarium boothii	Fusarium boothii		fungi	282271	Gibberella ear rot/Red ear rot	禾谷镰孢穗腐病	confirmed	Deressa T, Adugna G, Suresh L M, et al. Fusarium boothii, Fusarium meridionale, and Fusarium temperatum are emerging preharvest maize ear rot pathogens in Ethiopia[J]. Plant Disease, 2025, 109(2): 297-307.	present	43	MH860690.1; ON207915.1; ON207918.1; ON207920.1; ON207921.1; ON207922.1; ON207927.1; ON209618.1; ON492702.1; OP163634.1; OP163654.1; OP163698.1; OP782316.2; OQ421787.1; OQ421788.1; OQ421789.1; OQ421790.1; OQ421791.1; OQ421792.1; OQ421793.1; OQ421794.1; OQ421795.1; OQ422856.1; OQ422857.1; OQ422858.1; OQ422859.1; OR245537.1; OR400431.1; OR880018.1; OR880024.1; OR880036.1; PP125731.1; PP422017.1; PQ039684.1; PQ772045.1; PV562992.1; PV801542.1; PV801553.1; PV801562.1; PV927250.1; PX108382.1; PZ266803.1; PZ627247.1		
Fusarium camptoceras	Fusarium camptoceras		fungi	57143	ear rot/stalk rot	穗腐病/茎腐病	confirmed	Abo-Elyousr K A M, El-Fawy M M, El-Nagar A S, et al. Biochar-based sustainable control of stalk and ear rot in maize caused by Fusarium camptoceras[J]. Journal of Plant Diseases and Protection, 2026, 133(4): 104.	present	11	AB820722.1; AB918017.1; EU520082.1; KJ782411.1; KU377450.1; KU377480.1; MH858038.1; MH858537.1; MN473247.1; ON999165.1; PP907861.1		
Fusarium cerealis / Fusarium crookwellense	Fusarium cerealis/Fusarium crookwellense		fungi	56641	ear rot/stalk rot	穗腐病/茎腐病	confirmed	Pfordt A, Schiwek S, Rathgeb A, et al. Occurrence, pathogenicity, and mycotoxin production of Fusarium temperatum in relation to other Fusarium species on maize in Germany[J]. Pathogens, 2020, 9(11): 864.	present	43	KJ125536.1; MG979793.1; MG979795.1; MG979797.1; MG979798.1; MH290473.1; MH290474.1; MH290475.1; MK271270.1; MK271271.1; MN523046.1; MN737766.1; MN833409.1; MT558728.1; MT558854.1; MT558855.1; MT558862.1; MT558863.1; MT559293.1; MT781326.1; MW358286.1; MW447299.1; MW447774.1; MW881048.1; OR287514.1; OR350981.1; OR350985.1; OR467403.1; OR543628.1; OR543667.1; OR543684.1; OU989365.1; OW984901.1; OW987847.1; OW988417.1; OW988525.1; PP097806.1; PP474104.1; PP474106.1; PP873109.1; PP947376.1; PZ658245.1; PZ697418.1		
Fusarium chlamydosporum	Fusarium chlamydosporum		fungi	86545	ear rot	穗腐病	confirmed	Shabana Y M, Ghoneem K M, Rashad Y M, et al. Distribution and biodiversity of seed-borne pathogenic and toxigenic fungi of maize in Egypt and their correlations with weather variables. Plants 11 (18): 2347[EB/OL].(2022) Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.	present	43	MH854820.1; MH858030.1; MH858262.1; MH859028.1; MH861111.1; OQ401035.1; PV111241.1; PV130019.1; PV257668.1; PV300414.1; PV358379.1; PV363052.1; PV391005.1; PV533797.1; PV746292.1; PV752255.1; PV864969.1; PV931339.1; PX061165.1; PX363178.1; PX482664.1; PX715897.1; PX776336.1; PX795658.1; PX870016.1; PZ014418.1; PZ052245.1; PZ094086.1; PZ266666.1; PZ266810.1; PZ274704.1; PZ274705.1; PZ274706.1; PZ278573.1; PZ278574.1; PZ278575.1; PZ298241.1; PZ413562.1; PZ477978.1; PZ478031.1; PZ478038.1; PZ687512.1; PZ734417.1		
Fusarium concentricum	Fusarium concentricum		fungi	48491	ear rot	穗腐病	confirmed	Du Q, Duan C X, Li S C, et al. First report of maize ear rot caused by Fusarium concentricum in China[J]. Plant Disease, 2020, 104(5): 1539.	present	43	LC868017.1; MH861916.1; MH862659.1; PP033029.1; PP033030.1; PP033031.1; PP702529.1; PP851379.1; PP853384.1; PQ499143.1; PQ499177.1; PQ499315.1; PQ626677.1; PQ656715.1; PV074008.1; PV186711.1; PV240799.1; PV446845.1; PV446846.1; PV446847.1; PV446865.1; PV446870.1; PV795995.1; PX062419.1; PX062420.1; PX070061.1; PX070062.1; PX241552.1; PX246540.1; PX246541.1; PX246542.1; PX246543.1; PX246544.1; PX397475.1; PX455616.1; PX622633.1; PX647265.1; PX899143.1; PZ051956.1; PZ136999.1; PZ146033.1; PZ203890.1; PZ789666.1		
Fusarium culmorum	Fusarium culmorum		fungi	5516	Fusarium ear rot, stalk rot, root rot	镰刀菌穗腐病/茎腐病/根腐病	confirmed	Xia L K, Cao Y Y, Wang J, et al. First report of Fusarium culmorum causing maize stalk rot in China[J]. Plant Disease, 2022, 106(5): 1521.	present	43	MH854965.1; MH855171.1; MH855266.1; MH856844.1; MH856845.1; MH857016.1; MH857017.1; MH862856.1; MH864973.1; ON075125.1; ON075175.1; PP947374.1; PP947377.1; PQ284547.1; PV108832.1; PV108833.1; PV108834.1; PV108835.1; PV108836.1; PV108965.1; PV488304.1; PV960622.1; PX022588.1; PX022590.1; PX091474.1; PX363270.1; PX447087.1; PX574206.1; PX612353.1; PX622931.1; PX622950.1; PX843723.1; PX875858.1; PZ191448.1; PZ278116.1; PZ278117.1; PZ316068.1; PZ386789.1; PZ392019.1; PZ526770.1; PZ695181.1; PZ695191.1; PZ697419.1		
Fusarium equiseti	Fusarium equiseti		fungi	61235	Fusarium ear rot, stalk rot	镰刀菌穗腐病/茎腐病	confirmed	Swamy S D, Mahadevakumar S, Hemareddy H B, et al. First report of Fusarium equiseti–the incitant of post flowering stalkrot of maize (Zea mays L.) in India[J]. Crop Protection, 2020, 129: 105035.	present	43	MH854570.1; MH855176.1; MH855177.1; MH855481.1; MH856616.1; MH857318.1; MH858268.1; MH862468.1; MH864013.1; PV802776.1; PX071361.1; PX132796.1; PX132824.1; PX132832.1; PX132833.1; PX132841.1; PX132856.1; PX132869.1; PX490594.1; PX490595.1; PZ025128.1; PZ556885.1; PZ556968.1; PZ583456.1; PZ596698.1; PZ611358.1; PZ623875.1; PZ623895.1; PZ623912.1; PZ627235.1; PZ627239.1; PZ627257.1; PZ645983.1; PZ676627.1; PZ706503.1; PZ715183.1; PZ735447.1; PZ764147.1; PZ785599.1; PZ796559.1; PZ796560.1; PZ824762.1; PZ830436.1		
Fusarium globosum	Fusarium globosum		fungi	78864	seedling blight/ear rot	苗枯病/穗腐病	confirmed	Moses L M, Marasas W F O, Vismer H F, et al. Molecular characterization of Fusarium globosum strains from South African maize and Japanese wheat[J]. Mycopathologia, 2010, 170(4): 237-249.	present	12	KP691023.1; KR909440.1; KR909450.1; KU325145.1; LT746278.1; LT746279.1; LT746280.1; MG366132.1; PV186881.1; PV186882.1; PV186883.1; U61687.1		
Fusarium graminearum (Gibberella zeae)	Fusarium graminearum (Gibberella zeae)	Gibberella zeae	fungi	5518	Gibberella ear rot/Red ear rot /stalk rot/head blight	赤霉病/赤霉穗腐病/茎腐病	confirmed	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	present	43	MH854826.1; MH855274.1; MH855275.1; MH855276.1; MH858190.1; MH864971.1; MH865799.1; MH865803.1; MH865804.1; MH865814.1; MH865815.1; MH865829.1; MH865831.1; MH865833.1; MH865836.1; MH865839.1; MH865840.1; MH865841.1; MH865844.1; MH865847.1; MH865848.1; MH865849.1; MH865851.1; MH865867.1; MH865869.1; MH865870.1; MH865872.1; MH865876.1; MH865877.1; MH865878.1; MH865921.1; MH865922.1; MH865927.1; MH865928.1; MH865929.1; PX599346.1; PZ225278.1; PZ547847.1; PZ560168.1; PZ627234.1; PZ720371.1; PZ770669.1; PZ770670.1		
Fusarium incarnatum (F. semitectum)	Fusarium incarnatum/ F. semitectum	F. semitectum	fungi	298378	Fusarium stalk rot/ear rot (tropical)	镰刀菌茎腐病/穗腐病	confirmed	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	present	43	MH854830.1; MH857950.1; MH857951.1; MH859944.1; MH865892.1; MH865893.1; MH865894.1; MH865895.1; MH865896.1; MH865897.1; MH866000.1; MH866002.1; PV076917.1; PX312709.1; PX312713.1; PX312714.1; PZ025892.1; PZ025893.1; PZ306215.1; PZ366124.1; PZ368453.1; PZ384665.1; PZ403190.1; PZ413130.1; PZ413567.1; PZ432629.1; PZ432652.1; PZ433257.1; PZ509288.1; PZ540807.1; PZ556446.1; PZ586688.1; PZ586743.1; PZ611343.1; PZ626031.1; PZ673698.1; PZ675169.1; PZ695144.1; PZ710561.1; PZ779759.1; PZ779762.1; PZ779763.1; PZ780070.1		
Fusarium kyushuense	Fusarium kyushuense		fungi	56665	ear rot	穗腐病	confirmed	Wang J H, Li H P, Zhang J B, et al. First report of Fusarium maize ear rot caused by Fusarium kyushuense in China[J]. Plant disease, 2014, 98(2): 279-279.	present	43	AB587019.1; AB587020.1; AF414971.1; EF487532.1; JX235957.1; KC466546.1; KR091835.1; LS484456.1; MG956781.1; MH892849.1; MN498042.1; MN503521.1; MN856334.1; MT594366.1; MT908505.1; MT908576.1; MW016613.1; MW016614.1; MW016615.1; MW016616.1; MW016617.1; MW016618.1; MW527087.1; MW880893.1; MW880906.1; MW880907.1; MZ047562.1; OM432493.1; ON492800.1; ON527509.1; OQ753256.1; OQ777725.1; PP506475.1; PP506593.1; PP702299.1; PQ056892.1; PQ222628.1; PX419178.1; PZ013136.1; PZ168403.1; PZ336322.1; PZ556466.1		
