species	taxid	category	search_string	hits	unique_pmids
Botryosphaeria zeae	NOT_VERIFIED	fungi	"Botryosphaeria zeae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Botrytis cinerea	40559	fungi	"Botrytis cinerea"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	43	43
Ceratobasidium cereale (Rhizoctonia cerealis)	76351	fungi	"Ceratobasidium cereale (Rhizoctonia cerealis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Ceratocystis paradoxa/Thielaviopsis paradoxa	13001	fungi	"Ceratocystis paradoxa/Thielaviopsis paradoxa"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Cercospora sorghi var. maydis	161743	fungi	"Cercospora sorghi var. maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Cercospora zeae-maydis	135779	fungi	"Cercospora zeae-maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	46	46
Cercospora zeina	348901	fungi	"Cercospora zeina"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	31	31
Cladosporium cladosporioides	29917	fungi	"Cladosporium cladosporioides"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	8	8
Cladosporium herbarum	29918	fungi	"Cladosporium herbarum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Claviceps gigantea	89175	fungi	"Claviceps gigantea"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Colletotrichum graminicola /Glomerella graminicola	31870	fungi	"Colletotrichum graminicola /Glomerella graminicola"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia aeria / Curvularia lunata var. aeria	1203437	fungi	"Curvularia aeria / Curvularia lunata var. aeria"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia australiensis	91365	fungi	"Curvularia australiensis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia clavata	95742	fungi	"Curvularia clavata"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia eragrostidis	418125	fungi	"Curvularia eragrostidis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Curvularia geniculata(Cochliobolus geniculatus)	418126	fungi	"Curvularia geniculata(Cochliobolus geniculatus)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia inaequalis / Helminthosporium inaequale	38902	fungi	"Curvularia inaequalis / Helminthosporium inaequale"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia intermedia / Cochliobolus intermedius	95735	fungi	"Curvularia intermedia / Cochliobolus intermedius"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia lunata (Cochliobolus lunatus)	5503	fungi	"Curvularia lunata (Cochliobolus lunatus)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia pallescens	318706	fungi	"Curvularia pallescens"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia senegalensis / Brachysporium senegalense	215132	fungi	"Curvularia senegalensis / Brachysporium senegalense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Curvularia tuberculata / Cochliobolus tuberculatus	1056642	fungi	"Curvularia tuberculata / Cochliobolus tuberculatus"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Didymella exitialis / Neoascochyta exitialis	487631	fungi	"Didymella exitialis / Neoascochyta exitialis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Didymella maydis (Phyllosticta maydis)	259522	fungi	"Didymella maydis (Phyllosticta maydis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Epicoccum nigrum	105696	fungi	"Epicoccum nigrum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Epicoccum sorghinum/Phoma sorghina	749593	fungi	"Epicoccum sorghinum/Phoma sorghina"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Eutiarosporella dactylidis	1608309	fungi	"Eutiarosporella dactylidis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Exserohilum rostratum (Setosphaeria rostrata)	1659837	fungi	"Exserohilum rostratum (Setosphaeria rostrata)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Exserohilum turcicum (Setosphaeria turcica)	93612	fungi	"Exserohilum turcicum (Setosphaeria turcica)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium acuminatum	5515	fungi	"Fusarium acuminatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	6	6
