file	type	title	authors	journal	year	doi	url
CNKI-20260826103915475.enw	Thesis	核盘菌在非寄主小麦中的益生作用研究	田斌年		2020	10.27158/d.cnki.ghznu.2020.000813	https://link.cnki.net/doi/10.27158/d.cnki.ghznu.2020.000813
CNKI-20260826103915475.enw	Thesis	土地类芽孢杆菌对玉米促生作用及其对大斑病生防机理研究	闫博巍		2020	10.27122/d.cnki.ghlnu.2020.000007	https://link.cnki.net/doi/10.27122/d.cnki.ghlnu.2020.000007
CNKI-20260826103915475.enw	Thesis	柑橘采后病害生防芽孢杆菌UB-201712的鉴定及其发酵制备	郑先能		2020	10.27177/d.cnki.gjxnu.2020.000584	https://link.cnki.net/doi/10.27177/d.cnki.gjxnu.2020.000584
CNKI-20260826103915475.enw	Thesis	玉米-大豆带状套作对大豆根腐病病原菌组成及根际微生物种群结构的影响	严雳		2020	10.27345/d.cnki.gsnyu.2020.001358	https://link.cnki.net/doi/10.27345/d.cnki.gsnyu.2020.001358
CNKI-20260826103915475.enw	Thesis	四川玉米黄曲霉穗腐病发生因素及其病原群体分析	王伟		2020	10.27345/d.cnki.gsnyu.2020.001117	https://link.cnki.net/doi/10.27345/d.cnki.gsnyu.2020.001117
CNKI-20260826103915475.enw	Thesis	玉米GRMZM2G064096、GRMZM5G879570和Zm00001d016716基因的克隆及功能研究	刘琼		2020	10.26919/d.cnki.gannu.2020.000856	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000856
CNKI-20260826103915475.enw	Thesis	白蚁巢芽孢杆菌抗菌活性及其作用机理初步研究	汪军勇		2020	10.26919/d.cnki.gannu.2020.000862	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000862
CNKI-20260826103915475.enw	Thesis	淀粉分解菌的表征及其在高湿玉米青贮中的应用研究	史悦		2020	10.27285/d.cnki.gsxnu.2020.000550	https://link.cnki.net/doi/10.27285/d.cnki.gsxnu.2020.000550
CNKI-20260826103915475.enw	Thesis	发酵茶籽粕益生菌的筛选及发酵条件优化	郑昕		2020	10.27136/d.cnki.ghunu.2020.000616	https://link.cnki.net/doi/10.27136/d.cnki.ghunu.2020.000616
CNKI-20260826103915475.enw	Thesis	几丁质强化木霉防控轮枝镰刀菌的效应研究	张智颖		2020	10.27244/d.cnki.gnjnu.2020.001516	https://link.cnki.net/doi/10.27244/d.cnki.gnjnu.2020.001516
CNKI-20260826103915475.enw	Thesis	含木霉复合菌生物有机肥对不同作物的促生效果	王杰		2020	10.27244/d.cnki.gnjnu.2020.000544	https://link.cnki.net/doi/10.27244/d.cnki.gnjnu.2020.000544
CNKI-20260826103915475.enw	Thesis	三株芽孢杆菌复配对烟草黑胫病的防治效果及菌株生防特性研究	李苗苗		2020	10.27630/d.cnki.gznky.2020.000224	https://link.cnki.net/doi/10.27630/d.cnki.gznky.2020.000224
CNKI-20260826103915475.enw	Thesis	Thermotoga sp.β-葡萄糖苷酶重组表达、分子改造及制备低聚龙胆糖研究	盛玲玲		2020	10.27169/d.cnki.gwqgu.2020.000927	https://link.cnki.net/doi/10.27169/d.cnki.gwqgu.2020.000927
CNKI-20260826104047183.enw	Thesis	血散薯内生真菌Periconia igniaria stdif10农药活性物质研究	林伟		2020	10.27036/d.cnki.ggxsu.2020.001794	https://link.cnki.net/doi/10.27036/d.cnki.ggxsu.2020.001794
CNKI-20260826104047183.enw	Thesis	手性杀菌剂呋吡菌胺立体选择性方法及生物效应研究	刘润华		2020	10.26919/d.cnki.gannu.2020.000269	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000269
CNKI-20260826104047183.enw	Thesis	鸡粪堆肥中优势菌的筛选及复合固化菌剂制备	赵鑫铭		2020	10.26919/d.cnki.gannu.2020.000456	https://link.cnki.net/doi/10.26919/d.cnki.gannu.2020.000456
CNKI-20260826104047183.enw	Thesis	贝莱斯芽孢杆菌WRN031对植物生长促进作用的化学因子研究	王安琪		2020	10.27327/d.cnki.gshnu.2020.000407	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2020.000407
CNKI-20260826104047183.enw	Thesis	乌头内生菌的分离鉴定及其次生代谢产物研究	贺鹏飞		2020	10.27327/d.cnki.gshnu.2020.000142	https://link.cnki.net/doi/10.27327/d.cnki.gshnu.2020.000142
CNKI-20260826104047183.enw	Thesis	麦类种子棒形杆菌鉴定及棒形杆菌检测技术研究	王丽		2020	10.27684/d.cnki.gxndx.2020.005415	https://link.cnki.net/doi/10.27684/d.cnki.gxndx.2020.005415
CNKI-20260826104047183.enw	Thesis	三七化感作用及其微生物学消减机制	李云龙		2020	10.27245/d.cnki.gnjsu.2020.000083	https://link.cnki.net/doi/10.27245/d.cnki.gnjsu.2020.000083
CNKI-20260826104047183.enw	Thesis	哈茨木霉TMN-1菌株诱导烟草抗青枯病的活性及机理研究	朱洪江		2020	10.27684/d.cnki.gxndx.2020.003501	https://link.cnki.net/doi/10.27684/d.cnki.gxndx.2020.003501
CNKI-20260826104047183.enw	Journal Article	微生物菌剂对夏玉米产量及农艺性状的影响	刘双 李永斌 李云龙 王民洋 张浩炜 钟增明 王亚君 陈三凤	中国农业大学学报	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLS9Qu9cS1qPGKh4Otv5UJ-SvHPLzAphrfjM-JIOIOCzRiFFiHEhiZd24NGSKkbAFTaoDn2bPSC6yJ6_D47VUZyzrxdt-BiKMKefX_ycBFz-catMZeO0jCTYNF-zKlA4yWvgRABB7IjmHCJCHmk_ziCUUAkzjQMZVhJ-QrZIL_kPy9Ko0Yu45xrc&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Journal Article	探究玉米麦根腐平脐蠕孢叶斑病的发生与病原鉴定	于静	农家参谋	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLQQkoduYzd8pVhSEgoZdq_RUeFnGmPpBSjWTCG9X8qrChnjXky169YnL5WhLvL6fvu_DkvJwFSlz3Lmes1EmTz18ix6sx6nMyLjICt8Y6FHnI0EeSSIYbsfYky4Hkb5gGwTsSv-VLBbx1BXmhOIQ6TsmgO6uua0erlwtoVW6H9p2UMMwixwWJPl&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Other Article	一株赖氨酸芽孢杆菌及其在降解玉米赤霉烯酮中的应用	王金全		2020-05-15		
CNKI-20260826104047183.enw	Journal Article	玉米主要病虫害防治技术分析	郑树彬	农家参谋	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLQilCy_IEZZCY1loe6pNfVvGtcBk3zvSg-a0YUwAupH4yyAHm7mEilQ7zRGA6a5-zeAdVW-ZtqD8zNxSvtOEDIfkOtzSfrcZfVeim8IIWzWvJ0wWhZqj8z9mj8UTfmQdPp7WcEX27BRwgmo7qUQZWL9JfERZRFy_i1vXdymFBB1Wpwu8hxJ86OJ&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Thesis	新的2-苯基-3,4-二氢-β-咔啉衍生物及其哒嗪类似物的合成与抗真菌活性	张冰玉		2020	10.27409/d.cnki.gxbnu.2020.002245	https://link.cnki.net/doi/10.27409/d.cnki.gxbnu.2020.002245
CNKI-20260826104047183.enw	Thesis	新型GH10家族耐热双功能木聚糖酶/纤维素酶XynA的分子鉴定和生化功能分析	曹若汀		2020	10.27044/d.cnki.ggzzu.2020.000440	https://link.cnki.net/doi/10.27044/d.cnki.ggzzu.2020.000440
CNKI-20260826104047183.enw	Thesis	甘肃省河西走廊地区间作绿肥对玉米、小麦和马铃薯病害影响的研究	闫智臣		2020	10.27204/d.cnki.glzhu.2020.003291	https://link.cnki.net/doi/10.27204/d.cnki.glzhu.2020.003291
CNKI-20260826104047183.enw	Thesis	饲料发酵菌剂的筛选及液固发酵工艺研究	龙祝		2020	10.27710/d.cnki.gznmc.2020.000592	https://link.cnki.net/doi/10.27710/d.cnki.gznmc.2020.000592
CNKI-20260826104047183.enw	Thesis	油桐枯萎病拮抗菌伯克氏菌Burkholderia arboris（Ba1）的分离鉴定及拮抗作用研究	梁晓洁		2020	10.27625/d.cnki.gzlky.2020.000241	https://link.cnki.net/doi/10.27625/d.cnki.gzlky.2020.000241
CNKI-20260826104047183.enw	Thesis	山白树新病害及化学成分与生物活性研究	高滢		2020	10.26981/d.cnki.gjhsc.2020.000085	https://link.cnki.net/doi/10.26981/d.cnki.gjhsc.2020.000085
CNKI-20260826104047183.enw	Thesis	两种产芽孢生防细菌的活性测定与其混合培养效果分析	高祯蔚		2020	10.27277/d.cnki.gsdnu.2020.000751	https://link.cnki.net/doi/10.27277/d.cnki.gsdnu.2020.000751
CNKI-20260826104047183.enw	Journal Article	遮放镇西番莲果腐病的病原菌鉴定	李莉 蒋桂芝	南方农业	2020	10.19415/j.cnki.1673-890x.2020.05.014	https://link.cnki.net/doi/10.19415/j.cnki.1673-890x.2020.05.014
CNKI-20260826104047183.enw	Journal Article	重庆地区玉米黏虫僵虫体内虫生真菌的分离鉴定	耿敬可 吴燕燕 顾偌铖 唐运林 韦俊宏 潘国庆 周泽扬	西南大学学报(自然科学版)	2020	10.13718/j.cnki.xdzk.2020.01.002	https://link.cnki.net/doi/10.13718/j.cnki.xdzk.2020.01.002
CNKI-20260826104047183.enw	Journal Article	玉米病害和病原名称整理及其汉译名称规范化探讨	王晓鸣 段灿星	中国农业科学	2020		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLRkKcYE_sQ6lnM6YINRJkGYgjpq0w49ThkqVGahx-rt6VSjEMmbr-KBiTj6FcOUg8T-msdkkw_04GDFzaWmGsdXea77BRW2VupZpdN7augF7e1pSXC8M_JgKZcOogqYuhZZXOAk3DaNPMmpVRHmFmvFUE8V-fJLTqfGEOMquV4m3bkZajlg1FPB&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Thesis	木霉菌-芽孢杆菌共培养技术及共培养物防治小麦赤霉病效果分析	李婷婷		2020	10.27307/d.cnki.gsjtu.2020.004176	https://link.cnki.net/doi/10.27307/d.cnki.gsjtu.2020.004176
CNKI-20260826104047183.enw	Journal Article	利用短小芽孢杆菌发酵玉米秸秆制备生物表面活性剂的研究	刘善斌	环境保护与循环经济	2019		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLRxTGb7NKRQhoYMU2vCAPlfEiuSEHCHoJwcC00z1pinmRi2F9wLqz1jCAxf7qTo0lAcWwGuFbpAeIMzBpu_DcuOooSa7hk1by53SLFR5vhBFo-vLFE6BI3nFstfLD1kWtWcCFPhmIX6eJMpTKhtI1ChuF-L4MwJVDYvmlK3C9AQZBL6nAahLwtz&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Thesis	风沙土肥力及微生物多样性对保护性耕作的响应机制	张华英		2019	10.27229/d.cnki.gnmnu.2019.000603	https://link.cnki.net/doi/10.27229/d.cnki.gnmnu.2019.000603
CNKI-20260826104047183.enw	Thesis	山西玉米2类重要病虫害的优势种群分析及防治试验研究	苗春茂		2019	10.27285/d.cnki.gsxnu.2019.000692	https://link.cnki.net/doi/10.27285/d.cnki.gsxnu.2019.000692
CNKI-20260826104047183.enw	Journal Article	3种植物粗提物对6种植物病原菌抑菌活性研究	刘晓辉 吕国忠 杨红 李季蓉 李林翰 王剑钊	绿色科技	2019	10.16663/j.cnki.lskj.2019.22.059	https://link.cnki.net/doi/10.16663/j.cnki.lskj.2019.22.059
CNKI-20260826104047183.enw	Journal Article	血散薯块根内生真菌Periconia igniaria Stdif10发酵产物的生物活性研究	林伟 骆海玉 邓业成 邓志勇 颜桢灵 张泽 王瑞昊 汤夏安 冯蓓蓓	河南农业科学	2020	10.15933/j.cnki.1004-3268.2020.01.010	https://link.cnki.net/doi/10.15933/j.cnki.1004-3268.2020.01.010
CNKI-20260826104047183.enw	Journal Article	草地贪夜蛾绿色防控技术研究进展	王登杰 任茂琼 姜继红 毕司进 吴圣勇	植物保护	2020	10.16688/j.zwbh.2019575	https://link.cnki.net/doi/10.16688/j.zwbh.2019575
CNKI-20260826104047183.enw	Thesis	木薯受二斑叶螨胁迫响应的多组学解析	杨娟		2019	10.27034/d.cnki.ggxiu.2019.000522	https://link.cnki.net/doi/10.27034/d.cnki.ggxiu.2019.000522
CNKI-20260826104047183.enw	Journal Article	芽胞杆菌JK05的鉴定及其对香蕉、玉米的促生和生防潜能研究	郭立佳 汪军 杨腊英 梁昌聪 周游 刘磊 黄俊生	热带作物学报	2020		https://link.cnki.net/urlid/46.1019.s.20191029.1707.016
CNKI-20260826104047183.enw	Journal Article	甘肃省河西走廊制种玉米叶部侵染性病害调查鉴定与病原消长规律研究	陈广泉 赵芸晨 侯梁宇 邢会琴 张建朝 谢颖 秦伯颖 陈海龙	耕作与栽培	2019	10.13605/j.cnki.52-1065/s.2019.05.001	https://link.cnki.net/doi/10.13605/j.cnki.52-1065/s.2019.05.001
CNKI-20260826104047183.enw	Journal Article	四川人工栽培饲草主要真菌病害调查报告	周俗 刘勇 陈虹 康晓慧 张绪校 胡蓉 蒋旭东 兰云 杨成勇	草学	2019		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLQ88yZBYZa4PEbqfGA3RuUHeXvD-7pqhwvzep-yEc5nYZXGZuRLBxOb4iFV-CqYenvBTAM8HTPhxo-Lbbfc7-keFyvnfOyIzK1Z-Lxjjq5nvPJ7DE6eFuBTVUzrfTk0ThPoTzkRJJJs0V8kmL4EEH4nipcxpTmCXtxx3pxR_SaLR8_vEnoTcmJX&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Journal Article	昆虫病原真菌防控草地贪夜蛾的现状、问题与展望	张维 彭国雄 夏玉先	中国生物防治学报	2019	10.16409/j.cnki.2095-039x.2019.05.030	https://link.cnki.net/doi/10.16409/j.cnki.2095-039x.2019.05.030
CNKI-20260826104047183.enw	Journal Article	饲用复合菌剂降解玉米皮-米糠混合原料中粗纤维的效果研究	郭萌萌 曹锡 吴义 王智伟 叶丙奎 王德光 吴林蔚 张科 杨雨鑫 陈玉林	动物营养学报	2019		https://link.cnki.net/urlid/11.5461.s.20190905.1300.046
CNKI-20260826104047183.enw	Journal Article	粮饲兼用型玉米大斑病的发生原因与防治方法	祖英治	现代畜牧科技	2019	10.19369/j.cnki.2095-9737.2019.09.027	https://link.cnki.net/doi/10.19369/j.cnki.2095-9737.2019.09.027
CNKI-20260826104047183.enw	Journal Article	草地贪夜蛾的昆虫病原微生物资源及其应用现状	陈万斌 李玉艳 王孟卿 刘晨曦 毛建军 陈红印 张礼生	植物保护	2019	10.16688/j.zwbh.2019453	https://link.cnki.net/doi/10.16688/j.zwbh.2019453
CNKI-20260826104047183.enw	Journal Article	芽孢杆菌BS-6基于全基因组数据的分类鉴定及拮抗能力分析	戚家明 孙杉杉 张东旭 徐志文 徐延平	生物技术通报	2019	10.13560/j.cnki.biotech.bull.1985.2019-0394	https://link.cnki.net/doi/10.13560/j.cnki.biotech.bull.1985.2019-0394
CNKI-20260826104047183.enw	Journal Article	草地贪夜蛾莱氏绿僵菌的分离鉴定	郑亚强 胡惠芬 付玉飞 金新华 张栩 杨宝云 张志红 黄明亮 李永川 陈斌 李正跃	植物保护	2019	10.16688/j.zwbh.2019399	https://link.cnki.net/doi/10.16688/j.zwbh.2019399
CNKI-20260826104047183.enw	Journal Article	农林园艺		科学中国人	2019		https://kns.cnki.net/kcms2/article/abstract?v=hH4QDuxDhLRet346h20NVIwq2Qmz_TcEbQppyTxtNMPrVUPMYu5fRb5BfLFRFQfhThkgZkH8P4y1RmOqlVDJW-KePJrwCPcCsNElkTGJISBBDHlHtWUAA8zkTf_YkO2SlmzaCJ3imdhZ_NXuyc0_Tdv8eNAnOqaeQP3yAdX4q1vVUyAT09d2CefN7VwlG7xq&uniplatform=NZKPT&language=CHS
CNKI-20260826104047183.enw	Journal Article	饲用复合菌剂对玉米秸秆青贮品质的影响	经争辉 娄宇飞 张梦瑶 徐养滨 郭萌萌 张科 杨雨鑫 陈玉林	中国畜牧杂志	2019	10.19556/j.0258-7033.20190402-06	https://link.cnki.net/doi/10.19556/j.0258-7033.20190402-06
CNKI-20260826104047183.enw	Conference Proceedings	云南东部地区玉米锈病类型的调查及其锈菌的群体遗传结构分析	刘林 浦仕献 王娜 李玉林 杨静 郭建伟 赵婧 李成云		2019	10.26914/c.cnkihy.2019.020177	https://link.cnki.net/doi/10.26914/c.cnkihy.2019.020177
CNKI-20260826104047183.enw	Conference Proceedings	ClVf19对玉米弯孢叶斑病菌生长发育及致病力的影响	徐靖茹 王芬 肖淑芹 薛春生		2019	10.26914/c.cnkihy.2019.020233	https://link.cnki.net/doi/10.26914/c.cnkihy.2019.020233
CNKI-20260826104047183.enw	Journal Article	草地贪夜蛾幼虫僵虫发生率调查及致病菌分离鉴定	程东美 洪婉雯 孙辉 华宏伟 张子枫 徐汉虹 张志祥	环境昆虫学报	2020		https://link.cnki.net/urlid/44.1640.Q.20190717.1722.002
